,load,inPin,inDirection,inSupply,driver,outPin,outDirection,outSupply
949416,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0,FuseL3HashNodeExcludeMask[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccvnninf_wrap1,FuseL3HashNodeExcludeMask[0],out,VccVNNINF
949419,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0,cfcm_prim_pwrgood_rst_b,in,VCCGT,gen12p93dl2/gen12p93dl2,cfcm_prim_pwrgood_rst_b,,VCCST
949422,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0,cfg_bgf_bist.bist_en,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqidim0/gtsqidim0par21,cfg_bgf_bist.bist_en,out,VCCGT
949439,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0,cp_cbusrstb_rst,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar11,cp_cbusrstb_rst,out,VCCGT
949451,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0,cuclk_raw_exit,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccgt_wrap1,cuclk_raw_exit,out,VCCGT
949460,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0,dftring_gtmcxlpar_rptr2_gtsqbgf_vccvnninf0_rptr1.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtmcxlpar1,dftring_gtmcxlpar_rptr2_gtsqbgf_vccvnninf0_rptr1.any_pkt.ring_ungate,out,VCCCFC
949572,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0,gdt_broadcast.dt_scan_boundlpb_clkgate_ovrd,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar31,gdt_broadcast.dt_scan_boundlpb_clkgate_ovrd,out,VCCGT
951391,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0,msqcr_midi_cmd_pkt.mem_type_l4[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqidim0/gtsqidim0par11,msqcr_midi_cmd_pkt.mem_type_l4[0],out,VCCGT
951947,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1,CGPCOHID[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqidim1/gtsqidim1par11,sq_channel[0],out,VCCGT
951948,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1,FuseL3HashNodeExcludeMask[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccvnninf_wrap1,FuseL3HashNodeExcludeMask[0],out,VccVNNINF
951951,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1,cfcm_prim_pwrgood_rst_b,in,VCCGT,gen12p93dl2/gen12p93dl2,cfcm_prim_pwrgood_rst_b,,VCCST
951954,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1,cfg_bgf_bist.bist_en,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqidim1/gtsqidim1par21,cfg_bgf_bist.bist_en,out,VCCGT
951971,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1,cp_cbusrstb_rst,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar11,cp_cbusrstb_rst,out,VCCGT
951983,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1,cuclk_raw_exit,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccgt_wrap1,cuclk_raw_exit,out,VCCGT
951992,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1,dftring_gtmcxlpar_rptr1_gtsqbgf_vccvnninf1_scan1.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtmcxlpar1,dftring_gtmcxlpar_rptr1_gtsqbgf_vccvnninf1_scan1.any_pkt.ring_ungate,out,VCCCFC
952104,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1,gdt_broadcast.dt_scan_boundlpb_clkgate_ovrd,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar31,gdt_broadcast.dt_scan_boundlpb_clkgate_ovrd,out,VCCGT
954479,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,FuseL3HashBankExcludeMask[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccvnninf_wrap1,FuseL3HashBankExcludeMask[0],out,VccVNNINF
954505,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,coh_visa_enable_0,in,VCCGT,gen12p93dl2/gtmempipe0,visagtnodebgf0_vccadm1_visa_enable,out,
954507,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,common_psmi_addr_reg.max_bw_dis,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0/gtsqbgf_vccvnninf_wrap01,common_psmi_addr_reg.max_bw_dis,out,VCCCFC
954655,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,cp_cbusrstb_rst,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar11,cp_cbusrstb_rst,out,VCCGT
954672,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,cuclk_raw_exit,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccgt_wrap1,cuclk_raw_exit,out,VCCGT
954768,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,gdt_broadcast.dt_scan_boundlpb_clkgate_ovrd,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar31,gdt_broadcast.dt_scan_boundlpb_clkgate_ovrd,out,VCCGT
954830,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,gt_sai_strap[0],in,VCCGT,gen12p93dl2/gen12p93dl2,gt_sai_strap[0],,VccVNNINF
954839,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,lc_sqidi_cmd_inf_up_0,in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar31,lc_sqidi_cmd_inf_up_0__0,out,VCCGT
955759,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,mbgf_misd_c2udata_inf_up,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0/gtsqbgf_vccgt_wrap01,mbgf_misd_c2udata_inf_up_0,out,VCCGT
956399,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,mcrgtsqidim1par2b_mcrgtsqidim0par2_eom,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqidim1/gtsqidim1par21,mcrgtsqidim1par2b_mcrgtsqidim0par2_eom,out,VCCGT
956613,gen12p93dl2/gtsqmcxlinf1/gtsqidim0,mempipeID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,mempipeID_raw[0],out,VCCGT
957443,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,FuseL3HashBankExcludeMask[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccvnninf_wrap1,FuseL3HashBankExcludeMask[0],out,VccVNNINF
957469,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,common_psmi_addr_reg.max_bw_dis,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1/gtsqbgf_vccvnninf_wrap11,common_psmi_addr_reg.max_bw_dis,out,VCCCFC
957617,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,cp_cbusrstb_rst,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar11,cp_cbusrstb_rst,out,VCCGT
957635,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,cuclk_raw_exit,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccgt_wrap1,cuclk_raw_exit,out,VCCGT
957733,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,dftring_gtnodecompar3_rptr7_gtsqidim1par1_rptr2.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar31,dftring_gtnodecompar3_rptr7_gtsqidim1par1_rptr2.any_pkt.ring_ungate,out,VCCGT
957778,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,dftring_gtsqbgf_vccgt0_hub1_gtsqidim1par2_scan1.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar0/gtsqbgf_vccgt_wrap01,dftring_gtsqbgf_vccgt0_hub1_gtsqidim1par2_scan1.any_pkt.ring_ungate,out,VCCGT
957823,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,dftring_gtsqbgf_vccgt1_scan1_gtsqidim1par2_rptr3.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1/gtsqbgf_vccgt_wrap11,dftring_gtsqbgf_vccgt1_scan1_gtsqidim1par2_rptr3.any_pkt.ring_ungate,out,VCCGT
957911,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,gdt_broadcast.dt_scan_boundlpb_clkgate_ovrd,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar31,gdt_broadcast.dt_scan_boundlpb_clkgate_ovrd,out,VCCGT
957973,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,gt_sai_strap[0],in,VCCGT,gen12p93dl2/gen12p93dl2,gt_sai_strap[0],,VccVNNINF
959684,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,mcrgtsqidim0par2_mcrgtsqidim1par2b_eom,in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqidim0/gtsqidim0par21,mcrgtsqidim0par2_mcrgtsqidim1par2b_eom,out,VCCGT
959898,gen12p93dl2/gtsqmcxlinf1/gtsqidim1,mempipeID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,mempipeID_raw[0],out,VCCGT
960748,gen12p93dl2/gtsqmcxlinf1,adtf_rst_b,in,VCCGT,gen12p93dl2/gen12p93dl2,adtf_rst_b,,VccVNNINF
960749,gen12p93dl2/gtsqmcxlinf1,bmcb_bmcf_bus_0.bmcb_bmcf_wcomp_is_outstanding[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar11,bmcb_bmcf_bus.bmcb_bmcf_wcomp_is_outstanding[0],out,VCCGT
960779,gen12p93dl2/gtsqmcxlinf1,coh_visa_enable_0,in,VCCGT,gen12p93dl2/gtmempipe0,visagtnodebgf0_vccadm1_visa_enable,out,
960783,gen12p93dl2/gtsqmcxlinf1,cpma_eu_bbl_rate_rdptr,in,VCCGT,gen12p93dl2/gtmempipe0/gtnoderc1,cpma_eu_bbl_rate_rdptr,out,VCCGT
962855,gen12p93dl2/gtsqmcxlinf1,dftring_gtnodecompar3_rptr7_gtsqidim1par1_rptr2.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar31,dftring_gtnodecompar3_rptr7_gtsqidim1par1_rptr2.any_pkt.ring_ungate,out,VCCGT
963100,gen12p93dl2/gtsqmcxlinf1,gdt_iovglobals.tctrl,in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnepar11,gdt_iovglobals.tctrl,out,VCCGT
963104,gen12p93dl2/gtsqmcxlinf1,gdt_tap_from_node1.tdo,in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode11/gtnode1lnepar11,output_to_parent.tdo,out,VCCGT
966428,gen12p93dl2/gtsqmcxlinf1,oa_tdm_pkt_prev_0.rsvd[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar41,oa_tdm_pkt_next.rsvd[0],out,VCCGT
966582,gen12p93dl2/gtsqmcxlinf1,svg_cs_rcr_0,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar31,svg_cs_rcr,out,VCCGT
966583,gen12p93dl2/gtsqmcxlinf1,svg_cs_rcr_1,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtfixpar31,svg_cs_rcr,out,VCCGT
966598,gen12p93dl2/gtsqmcxlinf1,tdc_cfe_eot_bus_0.tcnt[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar11,tdc_cfe_eot_bus.tcnt[0],out,VCCGT
966630,gen12p93dl2/gtsqmcxlinf1,tdc_cfe_eot_bus_2.tcnt[0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtrasterpar11,tdc_cfe_eot_bus.tcnt[0],out,VCCGT
966682,gen12p93dl2/gtsqmcxlinf1,tdg_vfg_lsc_flush_done_0,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar11,tdg_vfg_lsc_flush_done,out,VCCGT
966683,gen12p93dl2/gtsqmcxlinf1,tdg_vfg_lsc_flush_done_1,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtscmtfixpar11,tdg_vfg_lsc_flush_done,out,VCCGT
967109,gen12p93dl2/gtsqmcxlinf1,vfl_vfg_creditrel_0,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar51,vfl_vfg_creditrel,out,VCCGT
967110,gen12p93dl2/gtsqmcxlinf1,vfl_vfg_creditrel_1,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtfixpar51,vfl_vfg_creditrel,out,VCCGT
967163,gen12p93dl2/gtslice0/gtssm0,FuseL3HashModeSelect_ft_out[0],out,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar31,FuseL3HashModeSelect_ft_out[0],out,VCCGT
967165,gen12p93dl2/gtslice0/gtssm0,bc_pss_poly_creditrel,out,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar61,bc_pss_poly_creditrel,out,VCCGT
967198,gen12p93dl2/gtslice0/gtssm0,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar41,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT
967243,gen12p93dl2/gtslice0/gtssm0,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar51,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT
970831,gen12p93dl2/gtslice0/gtssm0,lsc_pss_flush_done,out,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtlscpar11,lsc_pss_flush_done,out,VCCGT
971046,gen12p93dl2/gtslice0/gtssm0,oa_tdm_data.rsvd[0],out,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar11,oa_tdm_data[0],out,VCCGT
971255,gen12p93dl2/gtslice0/gtssm1,FuseL3HashModeSelect_ft_out[0],out,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar31,FuseL3HashModeSelect_ft_out[0],out,
971257,gen12p93dl2/gtslice0/gtssm1,bc_pss_poly_creditrel,out,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar61,bc_pss_poly_creditrel,out,VCCGT
971290,gen12p93dl2/gtslice0/gtssm1,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar41,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,
971335,gen12p93dl2/gtslice0/gtssm1,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar51,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT
974923,gen12p93dl2/gtslice0/gtssm1,lsc_pss_flush_done,out,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtlscpar11,lsc_pss_flush_done,out,VCCGT
975138,gen12p93dl2/gtslice0/gtssm1,oa_tdm_data.rsvd[0],out,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar11,oa_tdm_data[0],out,VCCGT
975184,gen12p93dl2/gtslice0/gtssm1,remotesense_ie_ve_ib_vb_a[0],inout,VCCGT,gen12p93dl2/gen12p93dl2,sense1_vb[0],,VCCGT
975347,gen12p93dl2/gtslice0/gtssm2,FuseL3HashModeSelect_ft_out[0],out,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,FuseL3HashModeSelect_ft_out[0],out,VCCGT
975349,gen12p93dl2/gtslice0/gtssm2,bc_pss_poly_creditrel,out,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar61,bc_pss_poly_creditrel,out,VCCGT
975382,gen12p93dl2/gtslice0/gtssm2,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar41,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT
975427,gen12p93dl2/gtslice0/gtssm2,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar51,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT
979015,gen12p93dl2/gtslice0/gtssm2,lsc_pss_flush_done,out,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtlscpar11,lsc_pss_flush_done,out,VCCGT
979230,gen12p93dl2/gtslice0/gtssm2,oa_tdm_data.rsvd[0],out,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar11,oa_tdm_data[0],out,VCCGT
979439,gen12p93dl2/gtslice0/gtssm3,FuseL3HashModeSelect_ft_out[0],out,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar31,FuseL3HashModeSelect_ft_out[0],out,
979441,gen12p93dl2/gtslice0/gtssm3,bc_pss_poly_creditrel,out,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,bc_pss_poly_creditrel,out,VCCGT
979474,gen12p93dl2/gtslice0/gtssm3,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar41,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,
979519,gen12p93dl2/gtslice0/gtssm3,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar51,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT
983107,gen12p93dl2/gtslice0/gtssm3,lsc_pss_flush_done,out,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtlscpar11,lsc_pss_flush_done,out,VCCGT
983322,gen12p93dl2/gtslice0/gtssm3,oa_tdm_data.rsvd[0],out,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar11,oa_tdm_data[0],out,VCCGT
983368,gen12p93dl2/gtslice0/gtssm3,remotesense_ie_ve_ib_vb_a[0],inout,VCCGT,gen12p93dl2/gen12p93dl2,sense3_vb[0],,VCCGT
983531,gen12p93dl2/gtslice0/gtsc1,amfs_tdl_flush_done_0[0],out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar21,amfs_tdl_flush_done_0[0],out,VCCGT
983539,gen12p93dl2/gtslice0/gtsc1,cfg_urbhash_1.urb_hash_mode[0],out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar31,cfg_urbhash.urb_hash_mode[0],out,VCCGT
983544,gen12p93dl2/gtslice0/gtsc1,cru_gass_cmp_pkt_0__0.tag[0],out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar21,cru_gass_cmp_pkt_0__0.tag[0],out,VCCGT
983780,gen12p93dl2/gtslice0/gtsc1,dapfork_gass_data_creditrel[0],out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,dapfork_gass_data_creditrel[0],out,VCCGT
983790,gen12p93dl2/gtslice0/gtsc1,dapfork_gass_data_creditrel_1_1[0],out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar21,dapfork_gass_data_creditrel_1[0],out,VCCGT
983881,gen12p93dl2/gtslice0/gtsc1,dftring_gtxetlbpar1_out2_gtssm_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar11,dftring_gtxetlbpar1_out2_gtssm_in1.any_pkt.ring_ungate,out,VCCGT
983926,gen12p93dl2/gtslice0/gtsc1,dftring_gtzpipepar1_out1_gtssm_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtzpipepar11,dftring_gtzpipepar1_out1_gtssm_in1.any_pkt.ring_ungate,out,VCCGT
983971,gen12p93dl2/gtslice0/gtsc1,gdt_broadcast_next_0.dt_scan_boundlpb_clkgate_ovrd,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar11,gdt_broadcast_next_0.dt_scan_boundlpb_clkgate_ovrd,out,VCCGT
984083,gen12p93dl2/gtslice0/gtsc1,gtsc_ssm0_dftevent_data.packet_raw.eventbus_encoded[0],out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar51,gtsc_ssm0_dftevent_data.packet_raw.eventbus_encoded[0],out,VCCGT
984128,gen12p93dl2/gtslice0/gtsc1,hiz_tdl_early_put_0_1,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtzpipepar21,hiz_tdl_early_put_0,out,VCCGT
984503,gen12p93dl2/gtslice0/gtsc1,nurb_lne_rr_inf_up_0_1,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar21,nurb_lne_rr_inf_up_0,out,VCCGT
997180,gen12p93dl2/gtslice0/gtsc1,tdg_lsc_cm_1x_sp_signals.uavflushreq,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar11,tdg_lsc_cm_1x_sp_signals.uavflushreq,out,VCCGT
997251,gen12p93dl2/gtslice0,cru_lnic_cmp_creditrel_0__0,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar21,cru_lnic_cmp_creditrel_0,out,VCCGT
997304,gen12p93dl2/gtslice0,mcrgtxetlbpar1_o_eom,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar11,mcrgtxetlbpar1_o_eom,out,VCCGT
997375,gen12p93dl2/gtslice0,nurb_lne_rr_inf_up_0__0,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar11,nurb_lne_rr_inf_up_0,out,VCCGT
997377,gen12p93dl2/gtslice0,nurb_lne_rr_inf_up_1__0,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar21,nurb_lne_rr_inf_up_0,out,VCCGT
998559,gen12p93dl2/gtslice0,oa_tdm_pkt_next.rsvd[0],out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar21,oa_tdm_pkt_next.rsvd[0],out,VCCGT
998678,gen12p93dl2/gtslice0,sffe_rxbar_cm_2x_bt_d0_signal_loc.poly.sffe_sfbe_dlast,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar31,sffe_rxbar_cm_2x_bt_d0_signal.poly.sffe_sfbe_dlast,out,VCCGT
1002806,gen12p93dl2/gtslice0,tdg_vfg_lsc_flush_done,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar11,tdg_vfg_lsc_flush_done,out,VCCGT
1002853,gen12p93dl2/gtslice0,vfl_vfg_creditrel,out,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar51,vfl_vfg_creditrel,out,VCCGT
1002875,gen12p93dl2/gtslice1/gtssm0,FuseL3HashModeSelect_ft_out[0],out,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar31,FuseL3HashModeSelect_ft_out[0],out,VCCGT
1002877,gen12p93dl2/gtslice1/gtssm0,bc_pss_poly_creditrel,out,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar61,bc_pss_poly_creditrel,out,VCCGT
1002910,gen12p93dl2/gtslice1/gtssm0,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar41,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT
1002955,gen12p93dl2/gtslice1/gtssm0,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar51,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT
1006543,gen12p93dl2/gtslice1/gtssm0,lsc_pss_flush_done,out,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtlscpar11,lsc_pss_flush_done,out,VCCGT
1006758,gen12p93dl2/gtslice1/gtssm0,oa_tdm_data.rsvd[0],out,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar11,oa_tdm_data[0],out,VCCGT
1006967,gen12p93dl2/gtslice1/gtssm1,FuseL3HashModeSelect_ft_out[0],out,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar31,FuseL3HashModeSelect_ft_out[0],out,
1006969,gen12p93dl2/gtslice1/gtssm1,bc_pss_poly_creditrel,out,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar61,bc_pss_poly_creditrel,out,VCCGT
1007002,gen12p93dl2/gtslice1/gtssm1,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar41,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,
1007047,gen12p93dl2/gtslice1/gtssm1,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar51,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT
1010635,gen12p93dl2/gtslice1/gtssm1,lsc_pss_flush_done,out,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtlscpar11,lsc_pss_flush_done,out,VCCGT
1010850,gen12p93dl2/gtslice1/gtssm1,oa_tdm_data.rsvd[0],out,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar11,oa_tdm_data[0],out,VCCGT
1010896,gen12p93dl2/gtslice1/gtssm1,remotesense_ie_ve_ib_vb_a[0],inout,VCCGT,gen12p93dl2/gen12p93dl2,sense6_vb[0],,VCCGT
1011059,gen12p93dl2/gtslice1/gtssm2,FuseL3HashModeSelect_ft_out[0],out,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar31,FuseL3HashModeSelect_ft_out[0],out,VCCGT
1011061,gen12p93dl2/gtslice1/gtssm2,bc_pss_poly_creditrel,out,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar61,bc_pss_poly_creditrel,out,VCCGT
1011094,gen12p93dl2/gtslice1/gtssm2,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar41,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT
1011139,gen12p93dl2/gtslice1/gtssm2,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar51,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.ring_ungate,out,VCCGT
1014727,gen12p93dl2/gtslice1/gtssm2,lsc_pss_flush_done,out,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtlscpar11,lsc_pss_flush_done,out,VCCGT
